# Server version 0.08 running on wpa147092.wireless.mcgill.ca:8123
# Game ID: 76
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Wed Apr 09 18:31:15 EDT 2014
# Player 1: Player-0, '110121860', running on www.smart-browser.com
# Player 2: Player-1, 'random', running on wpa147092.wireless.mcgill.ca
# Player 3: Player-2, 'random', running on wpa147092.wireless.mcgill.ca
# Player 4: Player-3, 'random', running on wpa147092.wireless.mcgill.ca
START Player-0 110121860
1 (14,2) (14,3)
2 (1,13) (2,14)
3 (7,15) (9,15)
3 null null
0 (8,3) (10,5)
0 null null
1 (13,4) (15,2)
1 (15,2) (15,4)
1 (15,4) (13,2)
1 null null
2 (0,10) (1,10)
3 (8,15) (7,14)
0 (9,4) (11,6)
0 null null
1 (12,0) (12,1)
2 (1,14) (3,12)
2 null null
3 (12,12) (11,12)
0 (10,5) (12,7)
0 null null
1 (11,1) (12,2)
2 (3,9) (5,11)
2 null null
3 (14,14) (15,15)
0 (11,6) (13,8)
0 null null
1 (15,0) (14,1)
2 (2,15) (1,14)
3 (14,15) (13,15)
0 (12,7) (14,9)
0 null null
1 (12,1) (11,1)
2 (1,11) (1,12)
3 (12,14) (13,13)
0 (13,8) (15,10)
0 null null
1 (15,3) (15,4)
2 (2,13) (0,11)
2 null null
3 (15,13) (14,12)
0 (13,0) (15,2)
0 null null
1 (13,5) (13,6)
2 (4,10) (3,9)
3 (12,15) (13,14)
0 (0,9) (2,11)
0 null null
1 (13,6) (13,5)
2 (2,14) (1,15)
3 (11,15) (11,14)
0 (10,2) (12,0)
0 null null
1 (14,1) (15,0)
2 (5,15) (6,15)
3 (11,12) (11,10)
3 null null
0 (1,3) (3,5)
0 null null
1 (12,2) (13,1)
2 (4,13) (3,14)
3 (11,10) (10,9)
0 (2,4) (4,6)
0 null null
1 (11,0) (10,1)
2 (2,10) (0,10)
2 (0,10) (0,12)
2 null null
3 (9,15) (9,14)
0 (4,6) (4,8)
0 null null
1 (10,1) (9,1)
2 (3,12) (4,12)
3 (12,13) (14,15)
3 (14,15) (12,15)
3 (12,15) (10,13)
3 (10,13) (8,15)
3 (8,15) (6,13)
3 null null
0 (4,8) (2,10)
0 null null
1 (13,5) (12,4)
2 (0,12) (1,11)
3 (14,13) (15,14)
0 (2,10) (0,12)
0 null null
1 (11,1) (10,2)
2 (3,14) (4,14)
3 (11,14) (10,14)
0 (0,12) (0,14)
0 null null
1 (9,1) (10,1)
2 (5,11) (3,13)
2 (3,13) (5,15)
2 (5,15) (7,15)
2 null null
3 (7,14) (5,12)
3 null null
0 (12,0) (14,2)
0 null null
1 (12,4) (13,5)
2 (1,10) (3,12)
2 null null
3 (14,12) (14,11)
0 (2,11) (4,13)
0 null null
1 (15,0) (13,0)
1 null null
2 (6,15) (8,15)
2 (8,15) (10,13)
2 null null
3 (13,15) (12,15)
0 (4,13) (4,15)
0 null null
1 (10,1) (11,2)
2 (4,14) (3,15)
3 (6,13) (5,14)
0 (4,7) (6,9)
0 null null
1 (14,3) (13,3)
2 (3,12) (4,13)
3 (5,12) (5,13)
0 (5,8) (7,10)
0 null null
1 (13,5) (14,6)
2 (7,15) (6,14)
3 (14,11) (15,12)
0 (6,9) (8,11)
0 null null
1 (13,1) (14,1)
2 (4,12) (3,13)
3 (10,9) (9,9)
0 (7,10) (9,12)
0 null null
1 (14,6) (13,7)
2 (1,14) (2,14)
3 (9,14) (8,15)
0 (9,12) (11,14)
0 null null
1 (13,7) (12,7)
2 (1,11) (2,10)
3 (13,11) (12,11)
0 (7,1) (8,2)
1 (13,0) (12,0)
2 (2,14) (3,14)
3 (13,13) (12,14)
0 (8,2) (9,3)
1 (15,4) (15,6)
1 (15,6) (13,4)
1 null null
2 (4,13) (2,13)
2 null null
3 (9,9) (10,8)
0 (9,3) (11,1)
0 null null
1 (13,3) (12,2)
2 (2,10) (3,11)
3 (12,14) (13,15)
0 (11,1) (13,3)
0 null null
1 (11,2) (10,1)
2 (3,9) (3,8)
3 (15,15) (14,14)
0 (11,14) (10,15)
1 (14,1) (13,1)
2 (3,15) (2,14)
3 (12,11) (13,12)
0 (14,9) (15,9)
1 (10,1) (9,2)
2 (10,13) (11,14)
3 (8,15) (9,14)
0 (8,11) (9,12)
1 (8,0) (9,0)
2 (11,14) (11,15)
3 (13,15) (13,13)
3 null null
0 (9,12) (10,13)
1 (13,1) (13,0)
2 (1,12) (0,12)
3 (10,14) (8,14)
3 null null
0 (10,13) (8,15)
0 null null
1 (14,5) (15,4)
2 (3,13) (3,12)
3 (8,14) (8,13)
0 (1,1) (2,2)
1 (13,4) (14,4)
2 (3,12) (3,10)
2 null null
3 (10,8) (11,7)
0 (2,2) (3,3)
1 (15,5) (15,6)
2 (2,13) (1,12)
3 (14,14) (15,13)
0 (13,3) (15,5)
0 null null
1 (14,4) (14,5)
2 (2,14) (2,13)
3 (13,12) (13,11)
0 (4,0) (5,1)
1 (9,0) (9,1)
2 (1,12) (2,12)
3 (9,14) (10,14)
0 (5,1) (6,2)
1 (13,2) (14,1)
2 (3,10) (2,10)
3 (13,13) (12,13)
0 (6,2) (7,3)
1 (13,0) (11,0)
1 null null
2 (0,13) (1,14)
3 (11,7) (10,7)
0 (7,3) (8,4)
1 (10,2) (10,3)
2 (3,14) (1,12)
2 null null
3 (5,14) (6,13)
0 (3,5) (4,6)
1 (15,4) (14,4)
2 (3,8) (4,9)
3 (13,14) (14,15)
0 (4,6) (5,7)
1 (9,1) (8,2)
2 (2,13) (3,13)
3 (11,11) (12,12)
0 (5,7) (6,8)
1 (14,5) (13,5)
2 (2,12) (2,13)
3 (14,15) (15,15)
0 (6,8) (7,9)
1 (14,1) (13,0)
2 (1,14) (2,14)
3 (12,12) (12,14)
3 null null
0 (8,4) (9,5)
1 (14,4) (15,4)
2 (6,14) (4,12)
2 null null
3 (6,13) (6,14)
0 (9,5) (10,6)
1 (13,0) (13,1)
2 (3,11) (4,11)
3 (13,11) (13,10)
0 (10,6) (11,7)
1 (13,1) (12,1)
2 (4,11) (3,12)
3 (13,10) (14,10)
0 (11,7) (13,7)
0 null null
1 (9,2) (10,1)
2 (2,13) (1,14)
3 (6,14) (7,13)
0 (13,7) (14,8)
1 (10,1) (11,2)
2 (3,12) (3,14)
2 null null
3 (8,13) (9,12)
0 (14,8) (15,8)
1 (12,2) (13,2)
2 (11,15) (13,15)
2 (13,15) (11,13)
2 (11,13) (9,15)
2 (9,15) (7,15)
2 null null
3 (12,13) (13,14)
0 (3,3) (4,4)
1 (13,5) (12,4)
2 (3,14) (2,13)
3 (7,13) (8,13)
0 (4,4) (5,5)
1 (14,0) (13,1)
2 (1,12) (2,12)
3 (8,13) (9,13)
0 (5,5) (6,6)
1 (13,2) (14,1)
2 (7,15) (6,15)
3 (9,12) (9,14)
3 (9,14) (11,14)
3 null null
0 (6,6) (7,7)
1 (15,4) (14,4)
2 (2,10) (2,11)
3 (10,14) (10,13)
0 (7,7) (8,8)
1 (12,4) (13,3)
2 (6,15) (5,15)
3 (10,13) (9,14)
0 (8,8) (6,10)
0 null null
1 (14,4) (14,5)
2 (3,13) (1,11)
2 (1,11) (3,11)
2 null null
3 (15,12) (14,12)
0 (7,9) (5,11)
0 null null
1 (12,7) (13,7)
2 (2,13) (3,14)
3 (15,13) (13,11)
3 null null
0 (5,11) (3,13)
0 null null
1 (12,1) (11,1)
2 (2,14) (3,15)
3 (10,7) (10,6)
0 (3,13) (4,14)
1 (11,0) (13,0)
1 null null
2 (2,12) (1,11)
3 (9,13) (10,12)
0 (6,10) (7,11)
1 (10,3) (9,2)
2 (3,11) (3,10)
3 (15,14) (15,13)
0 (7,11) (8,12)
1 (9,2) (8,3)
2 (3,10) (1,12)
2 (1,12) (1,10)
2 (1,10) (3,12)
2 (3,12) (5,12)
2 (5,12) (5,14)
2 null null
3 (14,12) (14,13)
0 (8,12) (9,13)
1 (12,0) (12,1)
2 (3,15) (2,14)
3 (14,10) (14,9)
0 (9,13) (9,15)
0 null null
1 (14,1) (15,0)
2 (1,11) (2,10)
3 (12,14) (13,15)
0 (4,14) (3,15)
1 (11,1) (11,3)
1 null null
2 (5,14) (5,12)
2 null null
3 (10,6) (9,6)
0 (0,8) (1,9)
1 (13,7) (14,7)
2 (4,9) (3,10)
3 (11,14) (10,13)
0 (1,9) (3,11)
0 null null
1 (12,1) (11,1)
2 (3,14) (3,13)
3 (12,15) (11,15)
0 (14,2) (15,3)
1 (8,2) (9,1)
2 (1,14) (1,13)
3 (15,13) (14,12)
0 (3,11) (2,12)
1 (13,3) (13,2)
2 (3,10) (3,11)
3 (9,14) (9,13)
0 (2,12) (4,14)
GAMEOVER 
WINNER Player-1
# Game ended: Wed Apr 09 18:31:18 EDT 2014
