# Server version 0.08 running on www.smart-browser.com:8123
# Game ID: 84
# Board class: halma.CCBoard
# Timeout: 1000
# Date: Wed Apr 09 23:43:35 EDT 2014
# Starting at move 504
# Player 1: Player-0, '110121860', running on www.smart-browser.com
# Player 2: Player-1, 'Human', running on www.smart-browser.com
# Player 3: Player-2, 'random', running on www.smart-browser.com
# Player 4: Player-3, 'random', running on www.smart-browser.com
START Player-0 110121860
START Player-1 Human
START Player-2 random
START Player-3 random
3 null null
0 (2,2) (3,3)
1 (14,3) (13,4)
2 (3,8) (3,9)
3 (11,14) (11,12)
3 null null
0 (4,0) (5,1)
1 (13,4) (14,3)
2 (7,6) (6,5)
3 (11,13) (9,11)
3 null null
0 (5,1) (6,2)
1 (14,1) (13,2)
2 (2,10) (4,8)
2 (4,8) (4,10)
2 null null
3 (12,9) (12,8)
0 (5,9) (3,11)
0 null null
1 (11,9) (10,10)
2 (6,5) (7,5)
3 (14,10) (15,11)
0 (6,2) (7,3)
1 (11,1) (12,2)
2 (4,9) (3,10)
3 (12,8) (11,8)
0 (7,3) (8,4)
1 (12,2) (14,4)
1 (14,4) (12,6)
1 null null
2 (2,11) (0,13)
2 (0,13) (2,13)
2 null null
3 (9,11) (10,11)
0 (3,5) (4,6)
1 (12,6) (13,6)
2 (4,10) (4,9)
3 (10,12) (10,13)
0 (4,6) (5,7)
1 (13,3) (13,4)
2 (6,14) (7,14)
3 (14,12) (14,14)
3 null null
0 (5,7) (6,8)
1 (9,1) (10,2)
2 (1,12) (2,12)
3 (15,14) (15,12)
3 (15,12) (13,14)
3 null null
0 (6,8) (7,9)
1 (12,0) (11,1)
2 (2,14) (3,14)
3 (10,13) (12,11)
3 null null
0 (8,4) (9,5)
1 (10,10) (11,9)
2 (2,13) (3,13)
3 (10,11) (11,10)
0 (9,5) (10,6)
1 (13,6) (12,7)
2 (1,13) (0,13)
3 (15,13) (15,12)
0 (3,11) (1,13)
0 null null
1 (13,4) (14,5)
2 (4,9) (4,8)
3 (15,12) (15,13)
0 (1,13) (2,14)
1 (10,2) (9,1)
2 (7,14) (8,15)
3 (15,13) (13,15)
3 (13,15) (13,13)
3 null null
0 (4,11) (5,12)
1 (13,1) (12,1)
2 (3,13) (4,13)
3 (14,13) (15,13)
0 (5,12) (6,13)
1 (12,7) (13,7)
2 (0,13) (1,14)
3 (13,14) (14,13)
0 (6,13) (7,14)
1 (11,1) (11,0)
2 (3,9) (3,8)
3 (11,12) (12,12)
0 (7,14) (7,15)
1 (11,9) (11,7)
1 (11,7) (9,5)
1 null null
2 (2,12) (2,11)
3 (14,14) (13,14)
0 (10,6) (11,7)
1 (15,3) (13,1)
1 (13,1) (11,1)
1 null null
2 (3,8) (2,7)
3 (15,7) (14,8)
0 (11,7) (12,8)
1 (12,1) (12,2)
2 (4,13) (5,13)
3 (11,10) (10,11)
0 (12,8) (14,6)
0 null null
1 (14,0) (13,0)
2 (2,7) (3,7)
3 (10,11) (9,11)
0 (14,6) (15,7)
1 (9,5) (9,4)
2 (1,10) (0,10)
3 (15,11) (14,12)
0 (6,11) (7,12)
1 (9,1) (8,2)
2 (7,5) (6,6)
3 (9,11) (9,12)
0 (7,12) (8,13)
1 (12,2) (10,0)
1 null null
2 (8,15) (9,15)
3 (14,8) (13,9)
0 (8,13) (9,14)
1 (8,2) (8,1)
2 (3,14) (4,15)
3 (12,12) (13,12)
0 (3,3) (4,4)
1 (15,1) (15,3)
1 (15,3) (15,5)
1 null null
2 (3,10) (3,9)
3 (12,10) (11,9)
0 (4,4) (5,5)
1 (8,1) (9,2)
2 (6,6) (5,7)
3 (15,13) (14,14)
0 (5,5) (6,6)
1 (9,4) (10,4)
2 (5,7) (4,6)
3 (13,13) (13,15)
3 (13,15) (15,13)
3 null null
0 (6,6) (7,7)
1 (13,2) (13,1)
2 (5,13) (4,12)
